total_lines,blank_line_ratio,avg_line_length,long_line_ratio,comment_density,num_functions,num_classes,num_loops,num_conditionals,num_try_except,import_count,assertion_count,avg_function_length,max_function_length,docstring_ratio,avg_identifier_length,single_char_var_ratio,type_annotation_ratio,magic_number_count,nested_function_count,ast_parse_success,avg_cyclomatic_complexity,max_cyclomatic_complexity,maintainability_index,label
66,0.2121,30.52,0.0,0.0577,2,0,7,3,0,0,0,24.0,33,0.5,3.93,0.3667,0.0,11,0,1,7.0,9,69.16,human
113,0.2035,31.97,0.0177,0.0556,2,0,5,2,0,1,0,42.5,49,1.0,4.86,0.2603,1.0,12,0,1,4.5,5,70.44,human
60,0.1167,30.51,0.0,0.0,1,0,0,4,0,1,0,39.0,39,1.0,7.17,0.0,1.0,0,0,1,4.0,4,60.96,human
137,0.1314,43.01,0.1095,0.0336,3,0,2,8,0,5,0,30.0,86,0.3333,9.12,0.0364,0.3333,20,0,1,6.0,16,64.99,human
196,0.1173,37.88,0.0459,0.0405,9,1,2,9,0,3,0,16.0,74,0.7778,7.19,0.0662,0.3333,13,0,1,2.8,16,63.93,human
37,0.1622,34.0,0.0,0.0645,1,0,1,3,0,1,0,30.0,30,1.0,8.56,0.0,1.0,2,0,1,4.0,4,82.2,human
35,0.1143,28.26,0.0,0.0,1,0,0,4,0,1,0,29.0,29,1.0,5.47,0.0,1.0,0,0,1,5.0,5,78.98,human
58,0.2931,33.78,0.0,0.0,1,0,1,3,0,0,0,32.0,32,1.0,7.5,0.0,0.0,0,0,1,3.0,3,81.26,human
113,0.2212,40.7,0.0619,0.0227,2,0,1,9,0,2,0,38.5,39,1.0,9.33,0.0,1.0,0,0,1,5.5,6,66.77,human
84,0.1429,32.28,0.0238,0.0833,3,0,1,6,0,1,0,23.33,33,1.0,5.6,0.0735,1.0,0,0,1,3.67,5,70.74,human
173,0.1503,32.71,0.0289,0.0204,3,0,2,14,0,2,1,44.0,48,1.0,6.95,0.0254,1.0,5,0,1,5.67,7,54.77,human
